station lat lon agl
ARR 69.28 16.01 5
BAL 55.35 17.22 28
BGU 41.97 3.23 2
BI1 53.23 23.03 5
BI2 53.23 23.03 30
BI3 53.23 23.03 90
BI4 53.23 23.03 180
BI5 53.23 23.03 300
BIR 58.38 8.25 40
BSC 44.17 28.68 3
CB1 51.97 4.93 20
CB2 51.97 4.93 60
CB3 51.97 4.93 120
CB4 51.97 4.93 200
CMN 44.17 10.68 670
DEB 40.73 0.79 5
EGH 51.43 -0.56 10
FIK 35.34 25.67 150
GIF 48.71 2.15 2
HEI 49.42 8.67 30
HFD 50.98 0.23 135
HPB 47.8 11.01 10
HTM 56.1 13.42 150
HU1 46.95 16.65 96
HYY 61.85 24.29 127
IPR 45.81 8.63 15
IZN 37.28 -4.38 5
JFJ 46.55 7.98 720
KAS 49.25 19.98 480
LMP 35.52 12.63 10
LPO 48.8 -3.58 10
LU1 53.4 6.35 60
MAH 55.37 -7.34 3
MHD 53.33 -9.9 15
OP1 48.55 5.5 10
OP2 48.55 5.5 50
OP3 48.55 5.5 120
OST 57.05 8.88 200
OX1 50.05 11.82 23
OX2 50.05 11.82 90
OX3 50.05 11.82 163
PAL 67.97 24.12 7
PDM 42.94 0.14 800
PTR 45.94 7.71 500
PUI 62.91 27.66 176
PUY 45.77 2.97 400
RHL 52 -2.54 152
SIL 47.91 7.91 230
SKK 55.51 -2.84 229
SVA 64.26 19.77 150
TAC 52.52 1.14 191
TR1 47.96 2.11 5
TR2 47.96 2.11 50
TR3 47.96 2.11 100
TR4 47.96 2.11 180
TT1 56.55 -2.98 222
TT2 56.55 -2.98 50
UTO 59.78 21.38 60
VOI 59.95 30.7 6
